gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,AvgChargesPerMonth,IsLongTermCustomer,HasStreamingService,HasSecurityBackup
1,0,1,1,1,1,1,0,1,1,1,1,1,84.0,0,0,0,0,1,0,0,1,86.57954545454545,1,1,1
0,0,0,0,1,1,1,1,1,0,1,1,1,111.05,0,1,0,0,0,1,0,0,109.33846153846154,1,1,1
1,0,0,0,1,1,0,1,1,0,1,1,1,100.9,0,1,0,0,1,0,0,0,103.59791666666666,1,1,1
0,0,0,0,1,1,1,0,0,0,0,0,1,78.95,1,1,0,0,0,0,1,0,77.27916666666667,0,0,1
1,0,1,1,1,1,1,1,0,1,0,0,1,66.85,0,0,0,1,0,1,0,0,66.8830985915493,1,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,21.05,1,0,1,0,0,0,0,1,22.77,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,21.0,0,0,1,0,1,0,0,0,21.292307692307695,1,0,0
0,1,1,0,1,0,0,1,1,0,1,1,1,98.5,1,1,0,0,0,0,1,0,100.58,1,1,1
1,0,0,0,1,0,0,0,0,0,0,0,0,20.2,0,0,1,0,0,0,0,1,20.2,0,0,0
0,0,1,1,1,0,0,0,0,0,0,0,0,19.45,0,0,1,0,0,0,1,0,19.45,0,0,0
1,0,0,0,1,1,0,0,1,1,1,0,0,95.0,0,1,0,1,0,0,0,0,94.88421052631578,1,1,0
0,1,1,0,0,0,0,1,1,0,1,0,0,45.55,0,0,0,1,0,0,0,0,45.86742424242424,1,1,1
1,0,1,0,1,1,0,1,1,1,1,1,1,110.0,1,1,0,0,1,0,0,0,111.93897058823529,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,24.3,0,0,0,0,0,0,0,1,20.04,0,0,0
0,0,1,1,1,1,1,1,0,0,1,1,1,104.15,0,1,0,1,0,0,1,0,101.43125,1,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,30.15,0,0,0,1,0,0,0,1,28.9890625,1,0,1
1,0,0,0,1,1,0,0,0,0,1,1,0,94.35,0,1,0,1,0,0,0,1,91.19302325581396,1,1,0
1,0,1,1,1,0,0,0,0,0,0,0,0,19.4,0,0,1,0,1,1,0,0,18.93402777777778,1,0,0
1,0,1,0,1,1,1,1,0,0,1,0,1,96.75,1,1,0,0,0,0,1,0,95.25272727272727,1,1,1
0,0,0,0,1,0,1,0,1,1,0,0,0,57.95,0,0,0,1,0,1,0,0,58.50480769230769,1,0,1
0,0,0,0,1,0,0,1,1,0,1,0,1,91.65,0,1,0,0,0,0,1,0,91.95581395348837,1,1,1
0,1,1,0,1,1,0,0,0,0,0,0,1,76.5,1,1,0,0,0,0,1,0,77.51756756756757,1,0,0
0,0,1,1,0,0,0,1,0,1,1,1,1,54.6,0,0,0,0,1,0,1,0,53.4921875,1,1,1
1,0,1,1,1,0,1,1,0,0,1,0,0,89.85,0,1,0,0,0,0,1,0,82.8,0,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,31.05,0,0,0,0,1,0,0,0,31.287499999999998,1,0,1
0,0,1,1,1,1,1,0,0,0,1,1,1,100.25,1,1,0,0,0,0,1,0,106.465,0,1,1
0,0,0,0,1,0,0,0,0,0,0,0,0,20.65,0,0,1,0,1,0,0,1,20.36951219512195,1,0,0
1,0,1,1,1,1,0,1,0,1,0,0,1,85.2,0,1,0,0,0,1,0,0,79.68888888888888,1,0,1
0,0,1,1,1,1,0,0,1,0,1,1,1,99.8,0,1,0,1,0,1,0,0,98.49017857142857,1,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,20.7,0,0,1,0,0,0,0,1,18.791666666666668,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0,1,74.4,1,1,0,0,0,0,1,0,76.51666666666667,0,0,0
0,0,1,1,1,0,1,0,0,0,0,0,0,50.7,0,0,0,0,0,0,0,1,50.050000000000004,0,0,1
0,0,1,1,1,0,0,0,0,0,0,0,0,20.85,0,0,1,0,0,0,0,1,15.725,0,0,0
1,0,0,0,1,0,1,0,0,1,1,0,1,88.95,0,1,0,0,1,0,1,0,91.7469696969697,1,1,1
0,1,0,0,1,1,0,0,1,0,0,0,1,78.05,1,1,0,0,0,0,1,0,79.0925925925926,1,0,0
1,0,1,0,1,1,0,0,0,0,0,0,1,23.55,0,0,1,0,1,0,0,0,23.94375,1,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,19.75,0,0,1,0,0,0,0,1,19.75,0,0,0
1,1,0,0,0,0,1,1,0,0,1,1,1,56.45,0,0,0,1,0,0,1,0,56.131690140845066,1,1,1
0,0,0,0,1,1,0,0,0,0,0,1,1,85.95,0,1,0,0,0,0,1,0,93.51153846153846,0,1,0
0,0,1,1,0,0,1,1,1,0,1,1,1,58.6,1,0,0,0,0,1,0,0,60.106,1,1,1
1,0,0,0,1,0,0,0,0,1,0,0,0,50.55,0,0,0,0,1,0,0,0,48.65820895522388,1,0,0
1,0,0,0,0,0,0,0,0,0,0,1,1,35.45,1,0,0,0,0,0,1,0,35.45,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,44.35,1,0,0,0,0,0,1,0,40.625,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,1,25.7,0,0,1,0,1,1,0,0,27.632558139534886,1,0,0
0,0,0,0,1,0,1,0,0,0,0,0,1,75.0,0,1,0,0,0,0,0,0,77.32608695652173,0,0,1
0,0,1,1,1,0,0,0,0,0,0,0,0,20.2,0,0,1,0,1,0,0,1,19.96484375,1,0,0
1,0,0,1,1,0,0,0,0,0,0,0,1,19.6,0,0,1,0,1,0,0,1,20.5359649122807,1,0,0
0,1,1,0,1,0,0,0,0,0,0,0,1,70.45,1,1,0,0,0,0,0,1,70.45,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,88.05,0,0,0,0,1,1,0,0,89.24513888888889,1,1,1
0,0,0,0,1,1,1,0,0,1,0,1,0,71.15,1,0,0,0,0,0,1,0,70.45625,0,1,1
0,0,1,0,1,1,0,1,0,0,1,1,1,101.05,0,1,0,0,1,0,0,0,97.88934426229508,1,1,1
1,0,0,0,1,1,1,1,0,0,0,0,1,84.3,0,1,0,1,0,1,0,0,82.64140625,1,0,1
1,1,1,0,1,1,0,0,0,0,0,0,0,23.95,0,0,1,0,1,0,0,0,24.735211267605635,1,0,0
0,0,1,1,1,1,1,1,0,1,1,0,1,99.05,0,1,0,0,1,1,0,0,98.71846153846154,1,1,1
1,0,0,0,1,0,0,0,0,0,0,0,0,19.6,0,0,1,1,0,0,0,1,20.45,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,45.65,1,0,0,0,0,0,1,0,45.65,0,0,0
1,0,0,1,1,0,0,1,1,0,1,0,0,64.5,0,0,0,1,0,1,0,0,64.33166666666666,1,1,1
1,0,1,1,1,0,0,1,1,1,0,1,1,69.5,0,0,0,0,0,0,0,1,71.42666666666668,0,1,1
0,0,1,1,1,0,0,0,0,1,1,1,1,68.55,0,0,0,0,0,0,1,0,70.54375,0,1,0
1,0,0,0,1,1,0,0,0,0,1,1,0,95.0,1,1,0,0,0,0,0,1,93.64285714285714,0,1,0
0,0,1,1,1,1,1,1,1,0,1,1,1,108.15,0,1,0,1,0,1,0,0,113.29357142857143,1,1,1
1,0,1,1,1,0,1,1,1,1,1,1,0,86.1,0,0,0,0,1,0,1,0,84.11693548387096,1,1,1
0,0,1,1,1,0,0,0,0,0,0,0,0,19.7,0,0,1,0,0,0,0,1,18.916666666666668,0,0,0
0,0,1,1,1,0,0,0,0,0,0,1,1,80.9,0,1,0,0,0,0,0,0,82.34285714285714,0,1,0
0,0,0,0,1,1,0,0,0,0,1,0,1,84.15,0,1,0,0,0,0,0,0,82.81590909090909,0,1,0
1,0,1,1,1,0,0,0,0,0,0,0,0,20.15,0,0,1,1,0,0,0,1,19.086363636363636,0,0,0
1,0,1,1,1,0,1,0,1,0,1,0,0,64.25,0,0,0,0,1,0,0,1,64.0,0,1,1
1,0,0,0,1,1,0,0,0,0,0,0,0,25.7,0,0,1,0,1,0,0,0,25.16,0,0,0
0,0,0,1,1,0,1,1,0,0,0,0,1,56.0,0,0,0,0,0,0,1,0,58.81153846153846,0,0,1
0,0,1,0,1,1,1,0,0,0,0,0,0,82.4,1,1,0,0,0,0,1,0,79.61749999999999,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,1,69.7,0,1,0,0,0,0,1,0,67.6,0,0,0
1,0,0,0,1,1,0,1,1,1,0,1,1,73.9,0,0,0,0,1,0,0,0,74.68396226415095,1,1,1
0,0,1,1,1,0,0,0,0,0,0,0,0,20.6,0,0,1,1,0,0,0,1,21.263636363636365,0,0,0
1,0,1,0,1,0,0,0,0,0,0,0,0,19.9,0,0,1,0,1,0,0,1,19.76014492753623,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,70.9,1,1,0,0,0,0,0,0,68.25,0,0,0
1,0,1,0,1,1,1,1,1,1,1,1,1,89.05,0,0,0,0,1,0,0,0,86.86736111111111,1,1,1
1,1,1,0,0,0,0,1,1,0,0,1,1,45.3,1,0,0,0,0,0,1,0,45.710344827586205,1,1,1
0,0,1,1,1,0,0,0,0,0,0,0,0,20.4,0,0,1,0,0,0,1,0,20.0875,0,0,0
1,0,1,0,1,0,1,0,1,1,0,0,1,84.25,0,1,0,1,0,0,0,0,82.30813953488372,1,0,1
0,0,1,0,1,1,0,0,1,1,1,1,1,104.4,1,1,0,0,0,0,1,0,121.4,0,1,0
1,0,1,0,1,0,0,1,1,1,1,1,0,81.95,0,0,0,0,1,0,0,1,84.41071428571429,0,1,1
0,0,1,0,1,0,0,0,1,0,1,1,1,94.85,1,1,0,1,0,0,0,0,94.3433962264151,1,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,20.55,0,0,1,1,0,0,0,0,20.4546875,1,0,0
0,0,1,0,1,1,0,0,0,0,0,0,0,24.7,0,0,1,0,0,0,1,0,22.947058823529414,1,0,0
0,1,0,0,1,1,0,0,0,0,0,0,1,74.45,1,1,0,0,0,0,0,1,76.38000000000001,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0,0,76.45,1,1,0,0,0,0,0,0,71.94285714285715,0,0,1
0,0,1,1,1,1,0,1,1,0,1,1,1,105.35,0,1,0,0,0,0,0,0,103.95,0,1,1
1,0,1,0,1,0,0,0,0,0,0,0,1,20.55,0,0,1,1,0,1,0,0,20.524590163934427,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,29.95,1,0,0,0,0,0,0,0,29.95,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,45.3,0,0,0,0,0,0,0,1,45.3,0,0,0
1,0,0,0,1,1,0,0,0,0,0,1,0,84.5,1,1,0,0,0,0,0,0,82.83125,0,1,0
1,0,1,1,1,0,1,0,1,0,1,1,0,74.75,0,0,0,1,0,1,0,0,74.34242424242424,1,1,1
0,0,0,0,1,0,0,1,1,0,0,0,1,79.25,1,1,0,0,0,0,1,0,85.51153846153846,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,1,24.8,1,0,0,0,0,0,1,0,24.8,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,1,51.8,0,0,0,0,0,0,0,1,51.1925,0,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,30.4,0,0,0,0,0,0,1,0,27.383333333333336,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,19.65,0,0,1,1,0,0,1,0,18.83076923076923,0,0,0
0,0,1,0,1,1,0,1,0,0,0,0,0,56.6,0,0,0,0,0,1,0,0,59.4775,1,0,1
1,0,1,1,1,1,1,0,0,1,0,1,1,71.9,0,0,0,1,0,1,0,0,73.79883720930232,1,1,1
1,0,1,0,1,0,0,1,1,0,0,1,1,91.0,1,1,0,0,0,0,1,0,88.5,0,1,1
0,0,1,1,1,0,0,0,0,0,0,0,0,19.75,0,0,1,0,1,0,0,0,19.933333333333334,1,0,0
0,0,1,1,1,1,1,1,1,0,1,1,0,109.7,0,1,0,0,1,1,0,0,112.90694444444445,1,1,1
1,0,1,1,1,0,0,0,0,0,0,0,0,19.3,0,0,1,0,1,1,0,0,20.215254237288136,1,0,0
0,0,1,0,1,0,1,1,0,1,1,0,1,96.55,0,1,0,0,0,0,1,0,95.08250000000001,0,1,1
1,0,1,1,1,1,0,0,0,0,0,0,1,24.1,0,0,1,0,1,0,0,0,24.474999999999998,0,0,0
1,0,0,0,1,1,0,1,1,1,1,1,1,111.35,0,1,0,0,0,0,1,0,110.5042372881356,1,1,1
1,0,1,1,1,1,0,1,1,1,1,1,1,112.25,0,1,0,0,1,0,0,0,111.68958333333333,1,1,1
1,0,0,1,1,0,0,0,0,0,0,0,0,20.75,0,0,1,0,0,0,0,1,20.75,0,0,0
0,0,1,0,1,0,1,0,0,1,1,1,1,101.9,0,1,0,1,0,1,0,0,99.30185185185185,1,1,1
0,0,0,0,1,0,0,1,0,1,0,0,1,80.05,0,1,0,0,0,1,0,0,79.45,0,0,1
1,0,1,1,1,1,1,0,1,0,1,1,0,105.55,0,1,0,0,1,0,1,0,104.30281690140845,1,1,1
1,0,0,1,1,0,0,0,0,0,1,0,1,78.3,0,1,0,0,0,1,0,0,79.53461538461539,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,68.85,0,1,0,0,0,1,0,0,67.24886363636364,1,0,0
0,0,0,0,1,0,0,1,0,1,0,0,1,79.95,0,1,0,1,0,0,0,0,81.35909090909091,1,0,1
1,0,1,1,0,0,1,1,1,1,0,1,1,55.45,0,0,0,0,1,1,0,0,58.044444444444444,1,1,1
1,0,0,0,1,0,0,0,0,0,0,1,0,79.9,1,1,0,0,0,0,1,0,79.9,0,1,0
0,0,0,0,1,0,1,0,1,1,1,1,1,106.6,1,1,0,0,0,0,1,0,101.81315789473685,0,1,1
1,0,1,0,1,0,0,1,1,1,1,1,1,102.45,0,1,0,1,0,1,0,0,103.9703125,1,1,1
1,0,0,0,1,0,0,0,0,0,0,0,1,46.0,1,0,0,0,0,1,0,0,42.25,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,25.25,0,0,0,0,0,0,1,0,25.25,0,0,0
1,0,0,1,1,0,0,0,0,0,0,0,0,19.75,0,0,1,0,1,0,0,1,18.42950819672131,1,0,0
0,0,1,1,1,0,0,0,0,0,0,0,0,20.0,0,0,1,1,0,0,1,0,18.622413793103448,1,0,0
1,1,1,0,1,1,0,0,0,0,0,1,0,86.8,0,1,0,0,0,0,1,0,85.90652173913043,0,1,0
0,0,1,0,0,0,1,1,1,0,1,1,1,58.75,0,0,0,0,0,0,0,0,60.30614035087719,1,1,1
1,0,1,1,0,0,1,1,1,1,0,0,0,45.25,0,0,0,0,1,1,0,0,43.608333333333334,1,0,1
1,0,1,0,0,0,1,1,1,1,1,0,1,56.6,0,0,0,0,1,0,0,0,57.41212121212121,1,1,1
1,0,1,1,1,1,0,1,1,1,1,1,1,84.2,0,0,0,0,1,0,0,0,81.91538461538461,1,1,1
0,0,0,0,1,0,0,0,0,0,1,0,1,80.0,0,1,0,0,0,0,0,0,78.075,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,70.15,1,1,0,0,0,0,1,0,67.0875,0,0,0
0,0,1,0,1,1,0,0,0,0,0,0,0,24.75,0,0,1,0,1,0,0,0,25.871830985915494,1,0,0
1,0,1,1,1,0,0,0,0,0,0,0,1,20.2,0,0,1,1,0,0,1,0,20.2,0,0,0
1,0,1,0,1,0,0,0,0,1,0,0,0,50.05,1,0,0,0,0,0,0,1,44.8375,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,19.35,0,0,1,1,0,0,0,0,18.279166666666665,0,0,0
1,0,0,0,0,0,1,0,0,0,1,1,1,50.6,0,0,0,1,0,0,0,1,53.697916666666664,0,1,1
0,0,1,1,1,0,1,0,1,1,1,1,1,81.15,0,0,0,1,0,0,0,1,82.12096774193549,1,1,1
0,0,1,0,1,0,0,0,0,0,1,0,0,55.2,1,0,0,0,0,0,0,1,55.2,0,1,0
1,0,0,0,1,1,0,0,0,1,0,1,1,89.9,0,1,0,0,0,1,0,0,90.77166666666668,1,1,0
0,0,1,1,1,1,1,1,0,1,1,1,1,85.3,0,0,0,0,1,1,0,0,87.38829787234043,1,1,1
